"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,15,12,0,3,3,0,0,0,0,0,0,0,0.8
"2",2020-02-16,15,12,0,3,3,0,0,0,0,0,0,0,0.8
"3",2020-02-17,15,12,0,3,3,0,0,0,0,0,0,0,0.8
"4",2020-02-18,15,12,0,3,3,0,0,0,0,0,0,0,0.8
"5",2020-02-19,15,12,0,3,3,0,0,0,0,0,0,0,0.8
"6",2020-02-20,15,10,0,5,5,0,-2,2,0,2,0,0,0.666666666666667
"7",2020-02-21,35,29,0,6,6,20,19,1,0,1,0.689655172413793,0,0.828571428571429
"8",2020-02-22,35,29,0,6,6,0,0,0,0,0,0,0,0.828571428571429
"9",2020-02-23,35,28,0,7,7,0,-1,1,0,1,0,0,0.8
"10",2020-02-24,53,48,0,5,5,18,20,-2,0,-2,0.375,0,0.905660377358491
"11",2020-02-25,57,51,0,6,6,4,3,1,0,1,0.0784313725490196,0,0.894736842105263
"12",2020-02-26,60,54,0,6,6,3,3,0,0,0,0.0555555555555556,0,0.9
"13",2020-02-27,60,54,0,6,6,0,0,0,0,0,0,0,0.9
"14",2020-02-28,63,57,0,6,6,3,3,0,0,0,0.0526315789473684,0,0.904761904761905
"15",2020-02-29,68,60,1,8,7,5,3,2,1,1,0.0833333333333333,0.125,0.882352941176471
"16",2020-03-01,75,65,1,10,9,7,5,2,0,2,0.107692307692308,0.1,0.866666666666667
"17",2020-03-02,100,85,6,15,9,25,20,5,5,0,0.294117647058824,0.4,0.85
"18",2020-03-03,124,106,9,18,9,24,21,3,3,0,0.226415094339623,0.5,0.854838709677419
"19",2020-03-04,158,138,11,20,9,34,32,2,2,0,0.246376811594203,0.55,0.873417721518987
"20",2020-03-05,221,200,12,21,9,63,62,1,1,0,0.315,0.571428571428571,0.904977375565611
"21",2020-03-06,319,289,15,30,15,98,89,9,3,6,0.339100346020761,0.5,0.905956112852665
"22",2020-03-07,435,401,19,34,15,116,112,4,4,0,0.28927680798005,0.558823529411765,0.92183908045977
"23",2020-03-08,541,504,22,37,15,106,103,3,3,0,0.21031746031746,0.594594594594595,0.931608133086876
"24",2020-03-09,704,663,26,41,15,163,159,4,4,0,0.245852187028658,0.634146341463415,0.941761363636364
"25",2020-03-10,994,949,30,45,15,290,286,4,4,0,0.305584826132771,0.666666666666667,0.954728370221328
"26",2020-03-11,1301,1248,38,53,15,307,299,8,8,0,0.24599358974359,0.716981132075472,0.959262106072252
"27",2020-03-12,1630,1581,41,49,8,329,333,-4,3,-7,0.208096141682479,0.836734693877551,0.969938650306748
"28",2020-03-13,2183,2126,48,57,9,553,545,8,7,1,0.260112888052681,0.842105263157895,0.973889143380669
"29",2020-03-14,2770,2664,57,106,49,587,538,49,9,40,0.220345345345345,0.537735849056604,0.96173285198556
"30",2020-03-15,3613,3484,69,129,60,843,820,23,12,11,0.241963260619977,0.534883720930233,0.964295599225021
"31",2020-03-16,4596,4434,87,162,75,983,950,33,18,15,0.22169598556608,0.537037037037037,0.964751958224543
"32",2020-03-17,6344,6127,110,217,107,1748,1693,55,23,32,0.285294597682389,0.506912442396313,0.965794451450189
"33",2020-03-18,9197,8940,150,257,107,2853,2813,40,40,0,0.319127516778523,0.583657587548638,0.972056105251712
"34",2020-03-19,13779,13464,206,315,109,4582,4524,58,56,2,0.340314913844326,0.653968253968254,0.977139124755062
"35",2020-03-20,19367,18965,255,402,147,5588,5501,87,49,38,0.294648035855523,0.634328358208955,0.979243042288429
"36",2020-03-21,24192,23720,301,472,171,4825,4755,70,46,24,0.203414839797639,0.63771186440678,0.980489417989418
